Card#,Version,Qty,Needed,Cardback,Discussion,@background,Title,Description,@cake,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,score,@symbol1,@symbol2,@symbol3,@symbol4,@symbol5
1,1,1,1,reward,,reward_bg.png,Lemon madeleine,"Delicate tart lemon with buttery, crumbly sponge",patisserie_lemon_madeleine.png,lemon,lemon,,,,1,symbol_lemon.png,symbol_lemon.png,,,
2,1,1,1,reward,,reward_bg.png,Tarte au citron,"Bright lemon curd beneath pastry shell, silky",patisserie_tarte_au_citron.png,lemon,lemon,lemon,almond,,3,symbol_lemon.png,symbol_lemon.png,symbol_lemon.png,symbol_almond.png,
3,1,1,1,reward,,reward_bg.png,Pink grapefruit tartelette,Grapefruit brightness with floral lemon notes,patisserie_pink_grapefruit_tartelette.png,lemon,lemon,strawberry,,,2,symbol_lemon.png,symbol_lemon.png,symbol_strawberry.png,,
4,1,1,1,reward,,reward_bg.png,Orange marmalade slice,Chunky orange marmalade with bold citrus zip,patisserie_orange_marmalade_slice.png,lemon,lemon,lemon,,,2,symbol_lemon.png,symbol_lemon.png,symbol_lemon.png,,
5,1,1,1,reward,,reward_bg.png,Lemon meringue pie,Sharp lemon curd balanced by cloud-soft meringue,patisserie_lemon_meringue_pie.png,lemon,lemon,lemon,Caramel,,4,symbol_lemon.png,symbol_lemon.png,symbol_lemon.png,symbol_Caramel.png,
6,1,1,1,reward,,reward_bg.png,Earl Grey financier,Floral Earl Grey meets buttery almond cake,patisserie_earl_grey_financier.png,lemon,lemon,almond,almond,,3,symbol_lemon.png,symbol_lemon.png,symbol_almond.png,symbol_almond.png,
7,1,1,1,reward,,reward_bg.png,Key lime & blueberry tart,Tangy key lime with bright blueberry freshness,patisserie_key_lime_&_blueberry_tart.png,lemon,lemon,strawberry,strawberry,,4,symbol_lemon.png,symbol_lemon.png,symbol_strawberry.png,symbol_strawberry.png,
8,1,1,1,reward,,reward_bg.png,Blood orange tart,Deep blood orange with luxurious silky filling,patisserie_blood_orange_tart.png,lemon,lemon,lemon,lemon,,3,symbol_lemon.png,symbol_lemon.png,symbol_lemon.png,symbol_lemon.png,
9,1,1,1,reward,,reward_bg.png,Yuzu tart,Exotic yuzu citrus with subtle floral stone fruit,patisserie_yuzu_tart.png,lemon,lemon,strawberry,strawberry,,4,symbol_lemon.png,symbol_lemon.png,symbol_strawberry.png,symbol_strawberry.png,
10,1,1,1,reward,,reward_bg.png,Lime & Earl Grey drizzle cake,Zesty lime drizzle with Earl Grey spice,patisserie_lime_&_earl_grey_drizzle_cake.png,lemon,lemon,almond,,,2,symbol_lemon.png,symbol_lemon.png,symbol_almond.png,,
